Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-February-2023,116.55,117.05,115.60,116.45,116.444045566502463054,324800,3108,37821026.00,145101,44.67,1.45,-0.10
15-February-2023,113.50,116.30,113.20,115.85,114.530027834255705478,367892,3928,42134681.00,162886,44.28,3.10,2.35
14-February-2023,114.25,114.60,110.50,113.55,112.094750690211047082,539690,3833,60496416.00,219798,40.73,4.10,-0.70
13-February-2023,117.00,117.10,113.40,114.00,114.917275649671235792,404089,2997,46436807.00,139226,34.45,3.70,-3.00
10-February-2023,117.20,118.15,116.50,116.95,117.009257375381485249,176940,1436,20703618.00,56512,31.94,1.65,-0.25
9-February-2023,117.95,118.50,116.00,117.20,117.096784060124093332,572150,4626,66996925.00,186669,32.63,2.50,-0.75
8-February-2023,121.05,121.60,119.75,120.95,120.652128587778042175,529506,3519,63886026.00,231049,43.63,1.85,-0.10
7-February-2023,122.00,123.30,120.20,120.65,121.562728443098698926,695195,5466,84509801.00,234566,33.74,3.10,-1.35
6-February-2023,119.50,121.50,118.90,121.10,120.718236003515136949,690727,6188,83383345.00,322910,46.75,2.60,1.60
3-February-2023,118.00,118.95,115.55,118.75,117.030756428393109761,600850,5555,70317930.00,235076,39.12,3.40,0.75
2-February-2023,116.65,120.25,116.25,117.75,118.153817129920764683,548619,6433,64821429.00,196970,35.90,4.00,1.10
1-February-2023,123.00,123.00,116.00,117.90,119.789945810293768671,615246,5698,73700285.00,194491,31.61,7.00,-5.10
31-January-2023,115.90,122.00,114.05,121.70,119.512723674628807124,899465,7746,107497512.00,380422,42.29,7.95,5.80
30-January-2023,115.25,118.55,114.70,116.10,116.323479571469306285,736470,6866,85668753.00,273041,37.07,3.85,0.85
27-January-2023,120.30,120.80,112.00,115.25,115.533289383925419145,1962863,16178,226776019.00,608963,31.02,8.80,-5.05
25-January-2023,122.60,123.00,119.65,120.50,120.945161199493171899,355150,3003,42953674.00,99253,27.95,3.35,-2.10
24-January-2023,124.90,124.90,122.45,122.90,123.394089321380039945,219298,1917,27060077.00,83035,37.86,2.45,-2.00
23-January-2023,124.60,125.00,123.80,124.30,124.273487805859626529,397568,4308,49407162.00,184294,46.36,1.20,-0.30
20-January-2023,123.25,125.45,123.25,124.10,124.442212089004697089,700008,4327,87110544.00,287359,41.05,2.20,0.85
19-January-2023,123.60,123.75,122.50,123.55,123.197835791623343066,160613,1382,19787174.00,52069,32.42,1.25,-0.05
18-January-2023,123.30,124.30,122.95,123.60,123.500954908996899504,1098534,3280,135669998.00,365655,33.29,1.35,0.30
17-January-2023,123.95,124.30,121.35,123.00,123.090125789997764636,196836,1670,24228568.00,50755,25.79,2.95,-0.95
16-January-2023,123.95,124.35,122.30,123.35,123.370818724913956275,311179,2503,38390408.00,79179,25.44,2.05,-0.60
